study_id,year,data_level,stage,estimand,numerator,denominator,pooling_stratum,pool,notes,source_location,url
GIANNINI2019,2019,Patients,E1,"iNPH diagnosis among initial referrals (derived)",76,154,"Patient cascade – diagnostic end-to-end",Yes,"Derived from 76 diagnoses among 154 initial referrals; the published flow separately reports 89 completed inpatient evaluations.","Derived from reported Results flow","https://doi.org/10.1016/j.parkreldis.2019.07.021"
GIANNINI2019,2019,Patients,E3,"Shunt receipt among diagnosed iNPH (derived)",43,76,"Treatment after diagnosis",Yes,"Derived from 43 shunts among 76 diagnosed iNPH.","Derived from reported Results flow","https://doi.org/10.1016/j.parkreldis.2019.07.021"
BECHAZEDDINE2001,2001,Patients,E1,"iNPH diagnosis among suspected memory-clinic referrals (derived)",14,71,"Patient cascade – diagnostic end-to-end",Yes,"Derived from 14 iNPH diagnoses among 71 patients initially suspected at the memory clinic.","Derived from reported Results flow","https://doi.org/10.1046/j.1468-1331.2001.00291.x"
BECHAZEDDINE2001,2001,Patients,E4,"Shunt receipt among suspected memory-clinic referrals (derived)",13,71,"Patient cascade – end-to-end",Yes,"Derived from 13 shunted iNPH patients among 71 initially suspected referrals.","Derived from reported Results flow","https://doi.org/10.1046/j.1468-1331.2001.00291.x"
BREAN2008,2008,Patients,E1,"Probable iNPH among initial referrals (derived)",48,86,"Patient cascade – diagnostic end-to-end",Yes,"Derived from 48 probable iNPH diagnoses among 86 referrals generated through active ascertainment.","Derived from reported Results flow","https://doi.org/10.1111/j.1600-0404.2007.00982.x"

