analysis_id,omitted_study,k,estimate,ci_low,ci_high,tau2,i2
P1_REFERRAL_TO_SHUNT,GIANNINI2019,6,0.4113105744568603,0.2807004820452256,0.555739685511921,0.49825802002017805,96.20550201376753
P1_REFERRAL_TO_SHUNT,ALHUSAINI2024,6,0.39420837334551295,0.2611658211485017,0.5450289427927786,0.5510118668708776,96.62755772124622
P1_REFERRAL_TO_SHUNT,MARTINLAEZ2016,6,0.36967073449456933,0.24595706846365514,0.5132551571635063,0.5027674812686848,95.57606752207741
P1_REFERRAL_TO_SHUNT,PYYKKO2018,6,0.3720547738647364,0.24635333252305597,0.5178257205845059,0.5165742467352222,95.04748528488365
P1_REFERRAL_TO_SHUNT,MACKI2020,6,0.4161991409755352,0.2872455929350721,0.5577430135990944,0.4734298400733622,95.47338939036874
P1_REFERRAL_TO_SHUNT,MARMAROU2005,6,0.3480685861458068,0.25401358987511624,0.4556766471949295,0.2837974708199863,93.4699668431229
P1_REFERRAL_TO_SHUNT,BECHAZEDDINE2001,6,0.42937995843968,0.31382557375240283,0.553181040215963,0.3647046698622073,95.28891670933211
P2_DIAGNOSED_TO_SHUNT,GIANNINI2019,6,0.7782761797673244,0.5863710703366619,0.896813902025266,1.1381156080726755,94.8250352011155
P2_DIAGNOSED_TO_SHUNT,MARTINLAEZ2016,6,0.7397756751972009,0.524999405754165,0.8796928575839584,1.2418556884233112,94.75526383614458
P2_DIAGNOSED_TO_SHUNT,PYYKKO2018,6,0.6693355198478799,0.5425118559375295,0.7755472228162423,0.3450150406122842,85.52490959469412
P2_DIAGNOSED_TO_SHUNT,RAZAY2019,6,0.7882313310074127,0.6165919762894168,0.8959941274059261,0.9617017642041107,94.14027735700373
P2_DIAGNOSED_TO_SHUNT,BECHAZEDDINE2001,6,0.7194413912975106,0.5299029429942599,0.8536637283358187,0.9963675834761556,95.18884356309115
P2_DIAGNOSED_TO_SHUNT,BELZILE2026,6,0.7683676814513211,0.5630515775310875,0.8951704177392056,1.2424665720796655,94.34223123194275
P2_DIAGNOSED_TO_SHUNT,POUDEL2026,6,0.7731257330815382,0.5756505539869963,0.8954019595476996,1.1860698706493398,95.50023681511506
S1_REFERRAL_TO_DIAGNOSIS,GIANNINI2019,5,0.4774091841574287,0.3420713596103004,0.6161473660412553,0.3756236832022684,94.11804337005968
S1_REFERRAL_TO_DIAGNOSIS,ALHUSAINI2024,5,0.4825807245188546,0.34765800583949436,0.6200920802067834,0.37188427170691646,94.42675337817225
S1_REFERRAL_TO_DIAGNOSIS,MARTINLAEZ2016,5,0.4484459363869181,0.33584877046223405,0.5665884446687391,0.2538605213591402,90.08423676162339
S1_REFERRAL_TO_DIAGNOSIS,PYYKKO2018,5,0.4698416256767598,0.33532383413407973,0.6088886240474806,0.3715026287452392,91.87349578739094
S1_REFERRAL_TO_DIAGNOSIS,BECHAZEDDINE2001,5,0.5423019978910171,0.48700446595895985,0.5965765370943633,0.0402051793053782,66.95019957148197
S1_REFERRAL_TO_DIAGNOSIS,BREAN2008,5,0.4655738090599814,0.33594038141242943,0.6000305132178293,0.35026592518244204,94.31949369684678
S2_TEST_COMPLETION,GALLINA2018,6,0.920306014816576,0.8460101858924741,0.9604326397881912,0.5502000857998802,72.9080645164711
S2_TEST_COMPLETION,KLASSEN2011,6,0.9318961929725269,0.8578593639291944,0.9687731874286729,0.7311749336428081,78.25199056294906
S2_TEST_COMPLETION,OIKE2021,6,0.9435664362311345,0.8930401082913029,0.9709999204360835,0.393137021966843,60.095753436305095
S2_TEST_COMPLETION,MAHR2016,6,0.9255402267701723,0.8497457950256352,0.9646895867880502,0.6562097684869376,76.27697061892863
S2_TEST_COMPLETION,MOREL2026,6,0.9308691075796584,0.8561921405610995,0.9682075376681785,0.7254705192588632,78.10189572867554
S2_TEST_COMPLETION,MACKI2020,6,0.9425570033384479,0.8818936071410556,0.9730150708441989,0.5948012015670732,64.73717584487132
S2_TEST_COMPLETION,BREAN2008,6,0.9157509310697346,0.8488122144459771,0.9546363128250007,0.43315867952039266,69.93758059004668
S3_TEST_POSITIVE_TO_SHUNT,GALLINA2018,4,0.8984119994113131,0.8176766173672813,0.9457677706901833,0.23391175995743635,50.23463936900367
S3_TEST_POSITIVE_TO_SHUNT,KLASSEN2011,4,0.9190677243819217,0.8556465793426327,0.9560560427391344,0.206463375014528,50.02339325125879
S3_TEST_POSITIVE_TO_SHUNT,OIKE2021,4,0.9044871146811276,0.8289189185335898,0.9487402424182574,0.2549776226644098,56.27378913128076
S3_TEST_POSITIVE_TO_SHUNT,JUNKKARI2019,4,0.8864075181076002,0.8150512419794564,0.9325129157009935,0.09374717637736397,27.109770427135857
S3_TEST_POSITIVE_TO_SHUNT,MARMAROU2005,4,0.9339622641509333,0.8915995240723354,0.960503092110463,0,0
S5_POSTSHUNT_RESPONSE_6_12M,GALLINA2018,4,0.784,0.7286737460868002,0.8306663407816252,0,0
S5_POSTSHUNT_RESPONSE_6_12M,ALHUSAINI2024,4,0.7926127774009379,0.7131556949890956,0.8545489329653119,0.07763766525869006,40.53094484276988
S5_POSTSHUNT_RESPONSE_6_12M,MARTINLAEZ2016,4,0.8177189004049522,0.7109557059213448,0.8910883993156876,0.19700482123427057,52.42871188699253
S5_POSTSHUNT_RESPONSE_6_12M,MAHR2016,4,0.811772740066861,0.7203930860466259,0.8783319803038667,0.15305590592470486,56.05931824115689
S5_POSTSHUNT_RESPONSE_6_12M,POUDEL2026,4,0.8250751887435658,0.7606930484664749,0.8749828870695836,0.023873741277591558,16.526636040985025
