analysis_id,sensitivity_id,description,model,status,k,n_total,events_total,estimate,ci_low,ci_high,nonprogression,pi_low,pi_high,tau2,i2,q,q_p
P1_REFERRAL_TO_SHUNT,strict_primary,Clinically suspected/referral inception cohorts,"Binomial-normal GLMM (logit, ML)",pooled,7,1646,706,0.39114962245146007,0.27566419744586423,0.5202656050437726,0.6088503775485399,0.13217826943301897,0.730442734121533,0.46794450888416844,95.76583380493219,NA,NA
P1_REFERRAL_TO_SHUNT,broad_entry,Adds diagnostically/procedurally selected and all-comer memory-clinic cohorts,"Binomial-normal GLMM (logit, ML)",pooled,11,2363,930,0.3906769250201849,0.25887543658506246,0.540631785597095,0.6093230749798151,0.07510792388779547,0.8350453732112512,1.0154079399172973,97.56376545928744,NA,NA
P1_REFERRAL_TO_SHUNT,kuopio_overlap_swap,Replaces Pyykko with Junkkari within the Kuopio cluster,"Binomial-normal GLMM (logit, ML)",pooled,7,1363,614,0.41910248867859984,0.2788799032328307,0.5737350890700132,0.5808975113214001,0.11373685750004146,0.8022170038305886,0.6748859917225786,96.40824984586972,NA,NA
P1_REFERRAL_TO_SHUNT,prospective_only,Restricts to prospective designs,"Binomial-normal GLMM (logit, ML)",pooled,4,709,338,0.4588989867292598,0.31267184898517686,0.6125647406222923,0.5411010132707402,0.17976066850407885,0.7664580216531994,0.37567817008266674,93.43127015011885,NA,NA
P1_REFERRAL_TO_SHUNT,guideline_era,Excludes studies before the 2005 international criteria,"Binomial-normal GLMM (logit, ML)",pooled,6,1575,693,0.42937995843968,0.31382557375240283,0.553181040215963,0.57062004156032,0.17243284537234724,0.7310034642164073,0.3647046698622073,95.28891670933211,NA,NA
P1_REFERRAL_TO_SHUNT,n_at_least_30,Excludes very small denominators,"Binomial-normal GLMM (logit, ML)",pooled,7,1646,706,0.39114962245146007,0.27566419744586423,0.5202656050437726,0.6088503775485399,0.13217826943301897,0.730442734121533,0.46794450888416844,95.76583380493219,NA,NA
P2_DIAGNOSED_TO_SHUNT,strict_primary,Diagnosed or probable iNPH cohorts,"Binomial-normal GLMM (logit, ML)",pooled,7,837,644,0.7507295883193087,0.5733964823882787,0.8709395950908809,0.2492704116806913,0.25546707556296033,0.9635498263024301,1.058822750765176,94.65735805937078,NA,NA
P2_DIAGNOSED_TO_SHUNT,broad_selected,Adds candidate/protocol-selected cohorts,"Binomial-normal GLMM (logit, ML)",pooled,9,1043,787,0.7399505307574255,0.6056420210897151,0.8405589591777122,0.26004946924257455,0.3101408281258155,0.9473939517841776,0.7872960578951234,93.38446878083705,NA,NA
P2_DIAGNOSED_TO_SHUNT,japan_survey_kuriyama,Adds Kuriyama as the selected report from the 2012 Japanese survey,"Binomial-normal GLMM (logit, ML)",pooled,8,2361,1648,0.7377036751025446,0.5832747725200667,0.8496557218499985,0.26229632489745536,0.2767522300402351,0.9538567985964828,0.90898782276567,96.48510851590237,NA,NA
P2_DIAGNOSED_TO_SHUNT,japan_survey_nakajima,Adds Nakajima instead of Kuriyama from the same survey cluster,"Binomial-normal GLMM (logit, ML)",pooled,8,2260,1618,0.740701536119448,0.5879623963017344,0.8511548541326784,0.259298463880552,0.28219618583167316,0.9540354222397984,0.8984597821298038,96.39066646628152,NA,NA
P2_DIAGNOSED_TO_SHUNT,prospective_only,Restricts to prospective designs,"Binomial-normal GLMM (logit, ML)",pooled,4,365,248,0.6290840926369299,0.4787229231414638,0.7579987550639122,0.3709159073630701,0.32074569153701366,0.8589899619837188,0.32763372851236117,84.91131429373578,NA,NA
P2_DIAGNOSED_TO_SHUNT,guideline_era,Excludes studies before the 2005 international criteria,"Binomial-normal GLMM (logit, ML)",pooled,6,823,631,0.7194413912975106,0.5299029429942599,0.8536637283358187,0.2805586087024894,0.23498831163712716,0.9553720360711897,0.9963675834761556,95.18884356309115,NA,NA
P2_DIAGNOSED_TO_SHUNT,n_at_least_30,Excludes very small denominators,"Binomial-normal GLMM (logit, ML)",pooled,6,823,631,0.7194413912975106,0.5299029429942599,0.8536637283358187,0.2805586087024894,0.23498831163712716,0.9553720360711897,0.9963675834761556,95.18884356309115,NA,NA
