analysis_id,model,status,k,n_total,events_total,estimate,ci_low,ci_high,nonprogression,pi_low,pi_high,tau2,i2,q,q_p
P1_REFERRAL_TO_SHUNT,"Binomial-normal GLMM (logit, ML)",pooled,7,1646,706,0.39114962245146007,0.27566419744586423,0.5202656050437726,0.6088503775485399,0.13217826943301897,0.730442734121533,0.46794450888416844,95.76583380493219,NA,NA
P2_DIAGNOSED_TO_SHUNT,"Binomial-normal GLMM (logit, ML)",pooled,7,837,644,0.7507295883193087,0.5733964823882787,0.8709395950908809,0.2492704116806913,0.25546707556296033,0.9635498263024301,1.058822750765176,94.65735805937078,NA,NA
S1_REFERRAL_TO_DIAGNOSIS,"Binomial-normal GLMM (logit, ML)",pooled,6,1251,660,0.4817065660678169,0.3696212179610967,0.595663705116436,0.5182934339321831,0.2254120233339045,0.74800274976448,0.2957700078109607,92.72982641423462,NA,NA
S2_TEST_COMPLETION,"Binomial-normal GLMM (logit, ML)",pooled,7,522,474,0.9307310196767579,0.8684826414818125,0.964713731258741,0.06926898032324214,0.7150160294102278,0.9862933705725454,0.6016999973667868,73.83285876708472,NA,NA
S3_TEST_POSITIVE_TO_SHUNT,"Binomial-normal GLMM (logit, ML)",pooled,5,312,282,0.9088791800964755,0.8463916727048006,0.9475229644046067,0.0911208199035245,0.7727353319671966,0.9669533605711704,0.20982489352961026,47.896086102594744,NA,NA
S4_RECOMMENDATION_TO_SHUNT,"Binomial-normal GLMM (logit, ML)",pooled,3,248,216,0.8521015351968355,0.6202155531967602,0.9531086717195022,0.1478984648031645,0.3404370257618241,0.984688281855693,1.1013733841166353,89.08534017365636,NA,NA
S5_POSTSHUNT_RESPONSE_6_12M,"Binomial-normal GLMM (logit, ML)",pooled,5,318,256,0.8081240748645748,0.73746214010525,0.8632929623181446,0.19187592513542517,0.675242187256091,0.895082505114659,0.08699721207406068,40.985870239092,NA,NA
