analysis_id,study_id,year,country,design,entry_setting,test_type,numerator,denominator,proportion,ci_low,ci_high,observed_nonprogression,source_type,decision_note
S2_TEST_COMPLETION,BREAN2008,2008,Norway,Population-referral diagnostic cohort,Active population-referral ascertainment,Lumbar puncture,63,64,0.984375,0.9159896735656463,0.9996044874859493,0.015625,reported,One technically impossible procedure
S3_TEST_POSITIVE_TO_SHUNT,GALLINA2018,2018,Italy,Retrospective consecutive cohort,ELD-selected cohort,ELD,62,66,0.9393939393939394,0.8520324360541544,0.983241777301832,0.06060606060606055,reported,Positive ELD denominator
S3_TEST_POSITIVE_TO_SHUNT,KLASSEN2011,2011,USA,Population-linked retrospective cohort,Invasively evaluated suspected cohort,HVLP,11,14,0.7857142857142857,0.4920243229515282,0.9534207121101327,0.2142857142857143,reported,Positive HVLP denominator
S3_TEST_POSITIVE_TO_SHUNT,OIKE2021,2021,Japan,Retrospective high-risk screening cohort,High-risk fall screening cohort,Tap test,27,29,0.9310344827586207,0.7723381100555138,0.9915360377469982,0.06896551724137934,reported,Probable iNPH after positive tap test
S3_TEST_POSITIVE_TO_SHUNT,JUNKKARI2019,2019,Finland,Retrospective registry protocol cohort,Protocol referral registry,Tap test,98,103,0.9514563106796117,0.8903438522405104,0.9840524059481867,0.04854368932038833,reported,Tap-positive group chosen as the one Kuopio effect
S3_TEST_POSITIVE_TO_SHUNT,MARMAROU2005,2005,USA,Prospective protocol cohort,Clinical iNPH protocol cohort,ELD,84,100,0.84,0.7532124025891376,0.9056897100260538,0.16000000000000003,reported,Positive ELD denominator
S4_RECOMMENDATION_TO_SHUNT,MOREL2026,2026,Switzerland,Consecutive implementation cohort,Multidisciplinary implementation cohort,NA,16,27,0.5925925925925926,0.3879839302596819,0.7761027086494187,0.40740740740740744,reported,Recommendation-to-operation implementation
S4_RECOMMENDATION_TO_SHUNT,BELZILE2026,2026,Canada,Retrospective clinical cohort,Probable iNPH after tap test,Tap test,114,119,0.957983193277311,0.9046690702623528,0.9862186048098772,0.04201680672268904,reported,Five referred patients declined
S4_RECOMMENDATION_TO_SHUNT,MACKI2020,2020,USA,Retrospective multidisciplinary cohort,Multidisciplinary NPH conference,Tap test,86,102,0.8431372549019608,0.7577988636526554,0.9075975348697751,0.1568627450980392,reported,Positive/referred denominator
S5_POSTSHUNT_RESPONSE_6_12M,GALLINA2018,2018,Italy,Retrospective consecutive cohort,ELD-selected cohort,ELD,60,68,0.8823529411764706,0.7812828942922204,0.9478162553301192,0.11764705882352944,reported,Twelve-month response
S5_POSTSHUNT_RESPONSE_6_12M,ALHUSAINI2024,2024,USA,Prospective implementation cohort,Multidisciplinary referral clinic,NA,36,41,0.8780487804878049,0.7379553244516902,0.9591932737525728,0.12195121951219512,reported,Twelve-month response
S5_POSTSHUNT_RESPONSE_6_12M,MARTINLAEZ2016,2016,Spain,Prospective population referral cohort,Defined-catchment referral,NA,119,152,0.7828947368421053,0.7088369253582931,0.8455945767289406,0.2171052631578947,reported,Six-month study-defined good outcome
S5_POSTSHUNT_RESPONSE_6_12M,MAHR2016,2016,Germany,Consecutive observational cohort,Consecutive suspected cohort,ELD,26,33,0.7878787878787878,0.6109190803258866,0.9101957554572987,0.21212121212121215,reported,Includes initial ETV in two patients; retain strict model only if treatment definition is accepted
S5_POSTSHUNT_RESPONSE_6_12M,POUDEL2026,2026,India,Prospective clinical cohort,Probable iNPH cohort,Tap test,15,24,0.625,0.4059363840079441,0.8120070718039977,0.375,reported,Twenty-four-week mRS response
