analysis_id,analysis_label,status,k,n_total,events_total,pooled_completion_95_ci,observed_nonprogression,prediction_interval,tau2,i2,q,q_p
P1_REFERRAL_TO_SHUNT,Initial suspicion/referral to shunt,pooled,7,1646,706,"39.1% [27.6%, 52.0%]",60.9%,13.2% to 73.0%,0.46794450888416844,95.76583380493219,NA,NA
P2_DIAGNOSED_TO_SHUNT,Diagnosed/probable iNPH to shunt,pooled,7,837,644,"75.1% [57.3%, 87.1%]",24.9%,25.5% to 96.4%,1.058822750765176,94.65735805937078,NA,NA
S1_REFERRAL_TO_DIAGNOSIS,Initial suspicion/referral to iNPH diagnosis,pooled,6,1251,660,"48.2% [37.0%, 59.6%]",51.8%,22.5% to 74.8%,0.2957700078109607,92.72982641423462,NA,NA
S2_TEST_COMPLETION,Completion of study-defined planned specialized/invasive work-up,pooled,7,522,474,"93.1% [86.8%, 96.5%]",6.9%,71.5% to 98.6%,0.6016999973667868,73.83285876708472,NA,NA
S3_TEST_POSITIVE_TO_SHUNT,Positive prognostic test to shunt,pooled,5,312,282,"90.9% [84.6%, 94.8%]",9.1%,77.3% to 96.7%,0.20982489352961026,47.896086102594744,NA,NA
S4_RECOMMENDATION_TO_SHUNT,Surgical referral/recommendation to shunt,pooled,3,248,216,"85.2% [62.0%, 95.3%]",14.8%,34.0% to 98.5%,1.1013733841166353,89.08534017365636,NA,NA
S5_POSTSHUNT_RESPONSE_6_12M,Clinical response approximately 6-12 months after CSF diversion,pooled,5,318,256,"80.8% [73.7%, 86.3%]",19.2%,67.5% to 89.5%,0.08699721207406068,40.985870239092,NA,NA
