analysis_id,model,status,k,n_total,events_total,estimate,ci_low,ci_high,nonprogression,pi_low,pi_high,tau2,i2,q,q_p
P1_REFERRAL_TO_SHUNT,"Logit inverse-variance (REML, Hartung-Knapp)",pooled,7,1646,706,0.3917954606400713,0.24100859623981685,0.5665073493611097,0.6082045393599287,0.08504174744615486,0.8170060664336833,0.5424017591113325,96.32571521375046,122.25510833107302,5.4738331219322486e-24
P2_DIAGNOSED_TO_SHUNT,"Logit inverse-variance (REML, Hartung-Knapp)",pooled,7,837,644,0.7443715346319878,0.4978968132481385,0.8952984495584975,0.2556284653680122,0.14001129381328534,0.9811613548040043,1.1953649636626473,95.23857110625643,97.21325632117383,9.56390987652052e-19
S1_REFERRAL_TO_DIAGNOSIS,"Logit inverse-variance (REML, Hartung-Knapp)",pooled,6,1251,660,0.4816329766480241,0.319216390872672,0.648025873501397,0.5183670233519759,0.14743173313799987,0.8331176381222614,0.35705462193608395,93.90157504307547,42.42689211819827,4.827590897259127e-8
S2_TEST_COMPLETION,"Logit inverse-variance (REML, Hartung-Knapp)",pooled,7,522,474,0.9229059142757713,0.8320065562830048,0.9665953902838659,0.07709408572422871,0.5899936071035601,0.9900586612735972,0.6195278351095459,74.39303724269658,21.59568073697847,0.0014329847526249144
S3_TEST_POSITIVE_TO_SHUNT,"Logit inverse-variance (REML, Hartung-Knapp)",pooled,5,312,282,0.9029326700269619,0.7905717083545372,0.9581980414262758,0.09706732997303813,0.610101062767181,0.9822375970920202,0.30666362187335666,57.32862721989372,9.79084257104832,0.04410221419886405
S4_RECOMMENDATION_TO_SHUNT,"Logit inverse-variance (REML, Hartung-Knapp)",pooled,3,248,216,0.8472788078109983,0.1582891528311597,0.9939272034540557,0.1527211921890017,0.008134968708554981,0.9997336004299369,1.6753107251901544,92.54581837257678,21.03479133047238,2.7061576831746594e-5
S5_POSTSHUNT_RESPONSE_6_12M,"Logit inverse-variance (REML, Hartung-Knapp)",pooled,5,318,256,0.8026728381091569,0.66364342273384,0.8934613377105388,0.1973271618908431,0.5099529653414908,0.940830185990124,0.17318586981428236,58.02841135504972,8.904936444891458,0.06352004005596065
